L,M,N,O,P,Q
11.51243782,16.83713722,,8.198596954,19.6860218,9.747001648
11.28007126,16.53572464,19.32056046,8.431703568,,9.603824615
10.83798027,17.77989388,19.71795845,10.09824944,,9.687555313
11.34224701,20.06947517,,8.13170433,,10.14403343
10.63101864,17.99961948,20.96093464,8.108355522,,9.986094475
16.28607655,19.15475559,,8.319052696,21.02141666,9.854453087
11.12996101,18.77968788,,8.237504959,,10.16457176
11.27332497,20.93364143,,8.450908661,,10.12014008
,,,,,
11.78663969,18.51124191,19.99981785,8.497009516,20.35371923,9.913459301
1.840199862,1.525226255,0.855739683,0.659320055,0.944266761,0.221136946
0.156125911,0.082394594,0.042787374,0.077594365,0.046392836,0.022306739
